Size;Min;Max;Mean;Median;Conf95start;Conf95end
1024;1,510103;6,175264;2,337019125;2,1496655000000002;2,25813873866;2,41589951134
1048576;22,000336;48,551567;30,041882846153847;29,725413;29,5291801337;30,5545855586
10485760;168,544298;312,247601;226,36628487179487;225,967895;222,474799059;230,257770685
12582912;223,090234;447,795297;300,7953304051282;297,146232;295,844546116;305,746114694
14680064;236,882531;500,149979;324,6977063027027;322,193203;318,686727223;330,708685382
16777216;265,807859;538,022876;359,354005774359;358,84796;352,772342908;365,935668641
18874368;303,057176;498,695016;380,9220148307692;380,81402;375,564738804;386,279290858
2097152;39,69363;86,317912;54,18219432820513;54,168021;53,0489973253;55,3153913311
20971520;325,397733;728,56267;432,0511040769231;429,95249;424,424856483;439,677351671
23068672;364,244992;742,695855;483,3081795128205;476,338708;475,010148161;491,606210864
25165824;438,424686;761,491014;575,1990896;568,0166695;566,264625108;584,133554092
27262976;452,301027;929,380668;611,9845892578948;606,5514915;600,300681467;623,668497049
29360128;469,020004;842,291197;624,7144890461539;627,963441;614,960160061;634,468818031
31457280;511,02031;972,608656;641,8793181435898;628,600804;630,670788188;653,0878481
33554432;506,820224;937,657022;709,5485888894736;716,3969495;697,026997583;722,070180196
35651584;554,703969;1224,937896;741,0563334410257;737,934805;728,402435267;753,710231615
37748736;581,873391;1000,132108;778,1619112368421;773,777339;765,493398971;790,830423503
39845888;648,607179;1209,145627;822,7387384871795;817,652083;809,696582865;835,780894109
4194304;71,103546;146,071662;97,03695624615385;96,751025;95,2905400816;98,7833724107
41943040;660,359853;1134,371108;835,5052447282052;830,408616;823,357389451;847,653100005
6291456;121,397421;225,658606;157,46149957435898;154,715072;154,5293052;160,393693949
8388608;136,253733;260,65856;185,65182776923078;183,397122;182,013575978;189,29007956
