Size;Min;Max;Mean;Median;Conf95start;Conf95end
1024;2,750637;14,751722;5,788929774358975;4,593997;5,36390643049;6,21395311823
1048576;31,929575;74,366624;51,405850774358974;50,313364;50,4526840843;52,3590174644
10485760;287,010042;593,758698;361,9820497384615;359,41183;356,688354498;367,275744979
12582912;343,956346;580,102956;463,485395174359;461,594834;456,651573026;470,319217323
14680064;410,882313;794,256592;518,6153260820513;513,008034;511,328064389;525,902587775
16777216;427,782147;735,58929;565,9614504974359;562,697105;557,348701121;574,574199874
18874368;406,985801;902,904189;642,7050825846154;641,593511;631,739389852;653,670775317
2097152;63,063806;113,727736;89,34063424102564;88,809373;88,0703292804;90,6109392016
20971520;575,628476;1023,184166;715,5740069333333;712,233878;705,063979888;726,084033979
23068672;585,993959;1301,578717;765,3113077384616;758,668327;752,215323856;778,407291621
25165824;666,264297;1263,777039;918,7303737589743;912,856967;904,479801884;932,980945634
27262976;598,195248;1317,94735;946,1494489641026;942,916987;930,265827086;962,033070843
29360128;716,961657;1348,014823;1001,1165057368421;1005,8295945;987,172097351;1015,06091412
31457280;799,448884;1507,053548;1052,591823723077;1050,233054;1038,03460346;1067,14904399
33554432;846,554218;1455,223474;1141,3110330918919;1150,64744;1124,88739625;1157,73466994
35651584;883,865503;1836,357881;1227,0050175473684;1222,7185775;1204,09484216;1249,91519294
37748736;952,726923;2215,021249;1350,0203113891891;1272,170631;1315,8987268;1384,14189598
39845888;1090,049094;2899,706108;1567,9118110947368;1471,5112765;1524,14706322;1611,67655897
4194304;88,610078;188,558764;147,90411122564103;153,548746;144,836477385;150,971745066
41943040;1095,276486;2569,22106;1571,5507592421052;1525,592648;1532,13176027;1610,96975822
6291456;177,978151;484,411236;248,0010427794872;244,375354;243,275951617;252,726133942
8388608;227,423494;461,483228;300,24704670769233;296,926434;295,996445246;304,497648169
