Size;Min;Max;Mean;Median;Conf95start;Conf95end
1024;0,97909;8,82171;2,701110769230769;1,453298;2,35910190929;3,04311962917
1048576;17,143191;51,313388;33,969094355;34,883034;32,9235575874;35,0146311226
10485760;133,624404;356,341617;234,01500435384617;233,667248;228,146402073;239,883606635
12582912;196,729198;509,004739;330,2660823025641;323,362279;322,029282684;338,502881921
14680064;220,147702;568,194215;367,0562485641026;368,637337;358,894818178;375,21767895
16777216;259,087084;645,090543;421,4977363128205;423,702365;410,82921932;432,166253306
18874368;283,713915;790,392273;478,1124103846154;475,354979;466,959862195;489,264958574
2097152;38,384073;84,122899;60,29150453333333;60,504856;59,0044436476;61,5785654191
20971520;310,653435;702,605477;517,1693222102564;516,121937;506,522337525;527,816306896
23068672;316,064501;796,746834;577,0354746717949;575,945259;564,260827439;589,810121905
25165824;464,926086;918,605564;630,567152425641;618,102443;618,36309615;642,771208701
27262976;407,561496;1145,347393;700,9909329641025;663,029965;680,596065081;721,385800847
29360128;480,423277;1078,327514;733,1130021948718;718,894223;720,030347286;746,195657103
31457280;520,02349;1028,83048;785,7341297846153;785,005268;771,179372723;800,288886846
33554432;596,289075;1191,40941;842,2076279589744;829,222401;826,120628126;858,294627792
35651584;611,558318;1310,773524;857,5766725333333;836,043065;839,967408698;875,185936369
37748736;611,202638;1235,103008;899,9299301282051;889,856243;881,617192103;918,242668153
39845888;552,602726;1373,815419;956,8661045435897;913,330483;934,814263064;978,917946023
4194304;63,467965;155,121157;93,32664795384615;90,688989;90,8489382879;95,8043576198
41943040;702,015511;1442,26984;988,8484392051282;959,945452;968,850950041;1008,84592837
6291456;119,044025;263,667767;181,73419858974358;180,808384;177,960732476;185,507664704
8388608;120,874728;368,220131;200,31761927692307;186,059;193,238519232;207,396719322
